SouthHex1,-7.49,159.0901
SouthHex2,6.51,159.0901
SouthHex3,20.51,159.0901
SouthHex4,34.51,159.0901
SouthHex5,-14.49,146.9657
SouthHex6,-0.49,146.9657
SouthHex7,13.51,146.9657
SouthHex8,27.51,146.9657
SouthHex9,41.51,146.9657
SouthHex10,-21.49,134.8414
SouthHex11,-7.49,134.8414
SouthHex12,6.51,134.8414
SouthHex13,20.51,134.8414
SouthHex14,34.51,134.8414
SouthHex15,48.51,134.8414
SouthHex16,-28.49,122.717
SouthHex17,-14.49,122.717
SouthHex18,-0.49,122.717
SouthHex19,27.51,122.717
SouthHex20,41.51,122.717
SouthHex21,55.51,122.717
SouthHex22,-21.49,110.5926
SouthHex23,-7.49,110.5926
SouthHex24,6.51,110.5926
SouthHex25,20.51,110.5926
SouthHex26,34.51,110.5926
SouthHex27,48.51,110.5926
SouthHex28,-14.49,98.46829
SouthHex29,-0.49,98.46829
SouthHex30,13.51,98.46829
SouthHex31,27.51,98.46829
SouthHex32,41.51,98.46829
SouthHex33,-7.49,86.34393
SouthHex34,6.51,86.34393
SouthHex35,20.51,86.34393
SouthHex36,34.51,86.34393
EastHex1,88.852,284.7211
EastHex2,102.852,284.7211
EastHex3,116.852,284.7211
EastHex4,130.852,284.7211
EastHex5,81.852,272.5967
EastHex6,95.852,272.5967
EastHex7,109.852,272.5967
EastHex8,123.852,272.5967
EastHex9,137.852,272.5967
EastHex10,74.852,260.4724
EastHex11,88.852,260.4724
EastHex12,102.852,260.4724
EastHex13,116.852,260.4724
EastHex14,130.852,260.4724
EastHex15,144.852,260.4724
EastHex16,67.852,248.348
EastHex17,81.852,248.348
EastHex18,95.852,248.348
EastHex19,123.852,248.348
EastHex20,137.852,248.348
EastHex21,151.852,248.348
EastHex22,74.852,236.2236
EastHex23,88.852,236.2236
EastHex24,102.852,236.2236
EastHex25,116.852,236.2236
EastHex26,130.852,236.2236
EastHex27,144.852,236.2236
EastHex28,81.852,224.0993
EastHex29,95.852,224.0993
EastHex30,109.852,224.0993
EastHex31,123.852,224.0993
EastHex32,137.852,224.0993
EastHex33,88.852,211.9749
EastHex34,102.852,211.9749
EastHex35,116.852,211.9749
EastHex36,130.852,211.9749
11,-149.785,265.814
12,-95.365,270.188
13,-88.512,266.021
14,-78.698,258.431
15,-86.94,248.452
16,-102.325,244.088
17,-93.346,242.279
18,-148.33,220.271
21,-132.939,282.611
22,-139.867,275.498
23,-123.667,284.854
24,-92.889,281.358
25,-77.835,282.839
26,-83.476,277.563
27,-76.988,272.637
28,-176.006,289.903
31,-23.62,201.546
32,-23.802,222.353
33,-40.489,235.17
34,-54.527,237.518
35,-64.851,250.813
36,-70.075,259.402
37,-60.057,263.676
38,-50.676,264.546
41,-67.99,271.103
42,-60.058,271.905
43,-70.885,278.818
44,-45.54,273.245
45,-53.156,276.268
46,-22.659,263.694
47,-55.097,284.285
48,-14.9,273.87
61,-105.281,217.18
62,-98.53,230.162
63,-81.845,229.337
64,-79.541,238.128
65,-75.12,247.002
66,-71.017,235.929
67,-62.567,228.987
68,-50.691,221.885
81,-160.465,573.207
82,-128.046,350.494
83,-69.771,294.031
84,-78.731,297.259
85,-103.941,300.914
86,-100.172,288.896
87,-395.452,371.152
88,-263.547,389.274
91,326.141,203.608
92,173.425,193.595
93,-2.515,292.841
94,-46.554,287.469
95,-56.141,295.922
96,-33.705,351.048
97,50.127,536.159
98,84.88,519.141
